scenario,protocol,architecture,traffic_level,num_spots,sim_duration_s,access_loss,backhaul_loss,agg_interval_s,mqtt_qos,coap_mode,amqp_exchange,amqp_ack,amqp_durable,heartbeat_interval_s,n_runs,seeds,metric,mean,std,ci95_low,ci95_high,ci95_halfwidth
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_duplicate_deliveries,0.0,0.0,0.0,0.0,0.0
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,unique_state_changes_applied_at_cloud,3089.8,63.574366,3010.874654,3168.725346,78.925346
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,duplicate_events_at_cloud,0.0,0.0,0.0,0.0,0.0
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_mean_ms,7622.936,109.257463,7487.29669,7758.57531,135.63931
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p50_ms,7624.06,223.923802,7346.06645,7902.05355,277.99355
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p95_ms,14405.522,41.331269,14354.210678,14456.833322,51.311322
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p99_ms,14961.942,36.14134,14917.073793,15006.810207,44.868207
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,e2e_unique_delivery_ratio,0.89346,0.007512,0.884134,0.902786,0.009326
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,cloud_reflection_ratio,0.9548,0.00996,0.942435,0.967165,0.012365
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,physical_delivery_ratio,0.93012,0.004381,0.924681,0.935559,0.005439
