Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 1112
  Anomalies resolved    : 1071
  Active at end         : 41
  Affected spots        : 138
  Quarantined at end    : 18
  Quarantine suppressed : 30
  Heartbeats suppressed : 40448
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        4402.6  ANOMALY_FLAG            spot=234 rule=R5_rapid_state_flip cumulative_flags=2
        4545.1  ANOMALY_RESOLVE         spot=214 rule=R3_rapid_arrival
        4545.1  ANOMALY_RESOLVE         spot=214 rule=R3_rapid_arrival
        4545.1  ANOMALY_RESOLVE         spot=214 rule=R4_stale_seq
        4545.1  ANOMALY_RESOLVE         spot=214 rule=R5_rapid_state_flip
        4604.5  ANOMALY_FLAG            spot=320 rule=R3_rapid_arrival cumulative_flags=1
        4604.5  QUARANTINE_ADD          spot=320 cumulative_flags=5 threshold=5
        4680.0  QUARANTINE_RELEASE      spot=214 reason=5 clean anomaly ticks
        4705.6  ANOMALY_RESOLVE         spot=94 rule=R3_rapid_arrival
        4738.0  ANOMALY_RESOLVE         spot=207 rule=R3_rapid_arrival
        4770.6  ANOMALY_FLAG            spot=207 rule=R3_rapid_arrival cumulative_flags=10
        4794.3  ANOMALY_FLAG            spot=94 rule=R4_stale_seq cumulative_flags=14
        4794.3  ANOMALY_FLAG            spot=94 rule=R5_rapid_state_flip cumulative_flags=15
        4796.7  ANOMALY_FLAG            spot=184 rule=R5_rapid_state_flip cumulative_flags=2
        4819.3  ANOMALY_RESOLVE         spot=184 rule=R5_rapid_state_flip
        4819.3  ANOMALY_FLAG            spot=184 rule=R5_rapid_state_flip cumulative_flags=3
        4956.7  ANOMALY_FLAG            spot=230 rule=R4_stale_seq cumulative_flags=7
        4956.7  ANOMALY_FLAG            spot=230 rule=R5_rapid_state_flip cumulative_flags=8
        4956.7  ANOMALY_FLAG            spot=230 rule=R3_rapid_arrival cumulative_flags=9
        4960.5  ANOMALY_RESOLVE         spot=114 rule=R5_rapid_state_flip
        5008.9  ANOMALY_FLAG            spot=114 rule=R5_rapid_state_flip cumulative_flags=4
        5056.4  ANOMALY_RESOLVE         spot=94 rule=R3_rapid_arrival
        5056.4  ANOMALY_RESOLVE         spot=94 rule=R4_stale_seq
        5056.4  ANOMALY_RESOLVE         spot=94 rule=R5_rapid_state_flip
        5081.7  ANOMALY_RESOLVE         spot=207 rule=R3_rapid_arrival
        5156.6  ANOMALY_RESOLVE         spot=234 rule=R5_rapid_state_flip
        5156.6  ANOMALY_FLAG            spot=234 rule=R5_rapid_state_flip cumulative_flags=3
        5160.2  ANOMALY_RESOLVE         spot=124 rule=R3_rapid_arrival
        5183.4  ANOMALY_RESOLVE         spot=111 rule=R3_rapid_arrival
        5184.8  ANOMALY_RESOLVE         spot=440 rule=R5_rapid_state_flip
        5184.8  ANOMALY_FLAG            spot=440 rule=R5_rapid_state_flip cumulative_flags=3
        5195.9  ANOMALY_FLAG            spot=207 rule=R3_rapid_arrival cumulative_flags=19
        5196.9  ANOMALY_FLAG            spot=214 rule=R4_stale_seq cumulative_flags=1
        5196.9  ANOMALY_FLAG            spot=214 rule=R5_rapid_state_flip cumulative_flags=2
        5196.9  ANOMALY_FLAG            spot=214 rule=R3_rapid_arrival cumulative_flags=3
        5196.9  QUARANTINE_ADD          spot=214 cumulative_flags=5 threshold=5
        5204.0  ANOMALY_RESOLVE         spot=234 rule=R5_rapid_state_flip
        5223.2  ANOMALY_RESOLVE         spot=440 rule=R5_rapid_state_flip
        5252.8  ANOMALY_FLAG            spot=111 rule=R3_rapid_arrival cumulative_flags=10
        5270.0  ANOMALY_FLAG            spot=124 rule=R3_rapid_arrival cumulative_flags=10
        5372.5  ANOMALY_RESOLVE         spot=320 rule=R3_rapid_arrival
        5394.4  ANOMALY_FLAG            spot=320 rule=R3_rapid_arrival cumulative_flags=10
        5415.6  ANOMALY_RESOLVE         spot=184 rule=R5_rapid_state_flip
        5415.6  ANOMALY_FLAG            spot=184 rule=R5_rapid_state_flip cumulative_flags=4
        5521.7  ANOMALY_RESOLVE         spot=184 rule=R5_rapid_state_flip
        5521.7  ANOMALY_FLAG            spot=184 rule=R5_rapid_state_flip cumulative_flags=5
        5521.7  QUARANTINE_ADD          spot=184 cumulative_flags=5 threshold=5
        5694.3  ANOMALY_RESOLVE         spot=94 rule=R4_stale_seq
        5694.3  ANOMALY_RESOLVE         spot=94 rule=R5_rapid_state_flip
        5694.3  ANOMALY_FLAG            spot=94 rule=R3_rapid_arrival cumulative_flags=20
        5694.3  ANOMALY_FLAG            spot=94 rule=R3_rapid_arrival cumulative_flags=21
        5694.3  ANOMALY_FLAG            spot=94 rule=R4_stale_seq cumulative_flags=22
        5694.3  ANOMALY_FLAG            spot=94 rule=R5_rapid_state_flip cumulative_flags=23
        5769.3  ANOMALY_RESOLVE         spot=230 rule=R4_stale_seq
        5769.3  ANOMALY_RESOLVE         spot=230 rule=R5_rapid_state_flip
        5769.3  ANOMALY_RESOLVE         spot=230 rule=R3_rapid_arrival
        5769.3  ANOMALY_RESOLVE         spot=230 rule=R4_stale_seq
        5769.3  ANOMALY_RESOLVE         spot=230 rule=R5_rapid_state_flip
        5769.3  ANOMALY_FLAG            spot=230 rule=R4_stale_seq cumulative_flags=15
        5769.3  ANOMALY_FLAG            spot=230 rule=R5_rapid_state_flip cumulative_flags=16
        5819.0  ANOMALY_FLAG            spot=214 rule=R4_stale_seq cumulative_flags=9
        5819.0  ANOMALY_FLAG            spot=214 rule=R5_rapid_state_flip cumulative_flags=10
        5821.8  ANOMALY_RESOLVE         spot=214 rule=R3_rapid_arrival
        5821.8  ANOMALY_RESOLVE         spot=214 rule=R4_stale_seq
        5821.8  ANOMALY_RESOLVE         spot=214 rule=R5_rapid_state_flip
        5856.7  ANOMALY_FLAG            spot=230 rule=R4_stale_seq cumulative_flags=17
        5856.7  ANOMALY_FLAG            spot=230 rule=R5_rapid_state_flip cumulative_flags=18
        5856.7  ANOMALY_FLAG            spot=230 rule=R3_rapid_arrival cumulative_flags=19
        5894.0  ANOMALY_RESOLVE         spot=436 rule=R3_rapid_arrival
        5916.9  ANOMALY_FLAG            spot=436 rule=R3_rapid_arrival cumulative_flags=10
        5949.3  ANOMALY_FLAG            spot=179 rule=R4_stale_seq cumulative_flags=1
        5949.3  ANOMALY_FLAG            spot=179 rule=R5_rapid_state_flip cumulative_flags=2
        5993.9  ANOMALY_FLAG            spot=292 rule=R4_stale_seq cumulative_flags=1
        5993.9  ANOMALY_FLAG            spot=292 rule=R5_rapid_state_flip cumulative_flags=2
        6002.0  ANOMALY_FLAG            spot=283 rule=R4_stale_seq cumulative_flags=1
        6002.0  ANOMALY_FLAG            spot=283 rule=R5_rapid_state_flip cumulative_flags=2
        6095.0  ANOMALY_RESOLVE         spot=320 rule=R3_rapid_arrival
        6096.9  ANOMALY_FLAG            spot=214 rule=R4_stale_seq cumulative_flags=15
        6096.9  ANOMALY_FLAG            spot=214 rule=R5_rapid_state_flip cumulative_flags=16
        6096.9  ANOMALY_FLAG            spot=214 rule=R3_rapid_arrival cumulative_flags=17
        6125.7  ANOMALY_FLAG            spot=320 rule=R3_rapid_arrival cumulative_flags=19
        6263.9  ANOMALY_FLAG            spot=234 rule=R5_rapid_state_flip cumulative_flags=4
        6264.7  ANOMALY_RESOLVE         spot=234 rule=R5_rapid_state_flip
        6264.7  ANOMALY_FLAG            spot=234 rule=R5_rapid_state_flip cumulative_flags=5
        6264.7  QUARANTINE_ADD          spot=234 cumulative_flags=5 threshold=5
        6289.5  ANOMALY_FLAG            spot=45 rule=R4_stale_seq cumulative_flags=1
        6289.5  ANOMALY_FLAG            spot=45 rule=R5_rapid_state_flip cumulative_flags=2
        6289.5  ANOMALY_FLAG            spot=45 rule=R3_rapid_arrival cumulative_flags=3
        6289.5  QUARANTINE_ADD          spot=45 cumulative_flags=5 threshold=5
        6338.6  ANOMALY_RESOLVE         spot=436 rule=R3_rapid_arrival
        6353.0  ANOMALY_FLAG            spot=436 rule=R3_rapid_arrival cumulative_flags=19
        6371.7  ANOMALY_RESOLVE         spot=404 rule=R3_rapid_arrival
        6389.8  ANOMALY_RESOLVE         spot=114 rule=R5_rapid_state_flip
        6389.8  ANOMALY_FLAG            spot=114 rule=R5_rapid_state_flip cumulative_flags=5
        6389.8  QUARANTINE_ADD          spot=114 cumulative_flags=5 threshold=5
        6422.4  ANOMALY_RESOLVE         spot=283 rule=R4_stale_seq
        6422.4  ANOMALY_RESOLVE         spot=283 rule=R5_rapid_state_flip
        6443.0  ANOMALY_RESOLVE         spot=114 rule=R5_rapid_state_flip
        6457.4  ANOMALY_RESOLVE         spot=207 rule=R3_rapid_arrival
        6457.5  QUARANTINE_RELEASE      spot=207 reason=5 valid events
        6459.9  ANOMALY_FLAG            spot=404 rule=R3_rapid_arrival cumulative_flags=9
        6474.9  ANOMALY_FLAG            spot=207 rule=R3_rapid_arrival cumulative_flags=1
        6474.9  QUARANTINE_ADD          spot=207 cumulative_flags=5 threshold=5
        6527.3  ANOMALY_RESOLVE         spot=94 rule=R3_rapid_arrival
        6527.3  ANOMALY_RESOLVE         spot=94 rule=R3_rapid_arrival
        6527.3  ANOMALY_RESOLVE         spot=94 rule=R4_stale_seq
        6527.3  ANOMALY_RESOLVE         spot=94 rule=R5_rapid_state_flip
        6527.3  ANOMALY_FLAG            spot=94 rule=R4_stale_seq cumulative_flags=24
        6527.3  ANOMALY_FLAG            spot=94 rule=R5_rapid_state_flip cumulative_flags=25
        6570.0  QUARANTINE_RELEASE      spot=114 reason=5 clean anomaly ticks
        6608.2  ANOMALY_RESOLVE         spot=230 rule=R4_stale_seq
        6608.2  ANOMALY_RESOLVE         spot=230 rule=R5_rapid_state_flip
        6608.2  ANOMALY_FLAG            spot=230 rule=R4_stale_seq cumulative_flags=25
        6608.2  ANOMALY_FLAG            spot=230 rule=R5_rapid_state_flip cumulative_flags=26
        6614.2  ANOMALY_RESOLVE         spot=230 rule=R3_rapid_arrival
        6614.2  ANOMALY_RESOLVE         spot=230 rule=R4_stale_seq
        6614.2  ANOMALY_RESOLVE         spot=230 rule=R5_rapid_state_flip
        6625.0  ANOMALY_RESOLVE         spot=179 rule=R4_stale_seq
        6625.0  ANOMALY_RESOLVE         spot=179 rule=R5_rapid_state_flip
        6634.0  ANOMALY_FLAG            spot=352 rule=R4_stale_seq cumulative_flags=1
        6634.0  ANOMALY_FLAG            spot=352 rule=R5_rapid_state_flip cumulative_flags=2
        6719.8  ANOMALY_RESOLVE         spot=214 rule=R4_stale_seq
