Scenario Log: A9_adaptive_edge
Architecture: edge_aggregated   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 0
  Anomalies resolved    : 0
  Active at end         : 0
  Affected spots        : 0
  Quarantined at end    : 0
  Quarantine suppressed : 0
  Heartbeats suppressed : 30630
  Adaptive mode switches: 4

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
       32070.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.893 < 90% delta_sent=8 delta_recv=6 agg_interval=5.0→10.0s
       32160.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.892 < 90% delta_sent=9 delta_recv=8 agg_interval=10.0→20.0s
       32280.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.808 < 90% delta_sent=9 delta_recv=3 agg_interval=20.0→40.0s
       32370.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.837 < 90% delta_sent=8 delta_recv=8 agg_interval=40.0→60.0s
       32490.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.861 < 90% delta_sent=9 delta_recv=9 agg_interval=60.0→60.0s
       32640.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.882 < 90% delta_sent=8 delta_recv=8 agg_interval=60.0→60.0s
       32760.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.900 < 90% delta_sent=9 delta_recv=9 agg_interval=60.0→60.0s
       32880.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.877 < 90% delta_sent=8 delta_recv=6 agg_interval=60.0→60.0s
       33000.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.879 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
       33150.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.897 < 90% delta_sent=9 delta_recv=9 agg_interval=60.0→60.0s
       33510.0  AGG_WINDOW_DECREASE     DR=0.924 healthy, agg_interval=60.0→30.0s
       33600.0  AGG_WINDOW_DECREASE     DR=0.936 healthy, agg_interval=30.0→15.0s
       33720.0  AGG_WINDOW_DECREASE     DR=0.930 healthy, agg_interval=15.0→7.5s
       33780.0  AGG_WINDOW_DECREASE     DR=0.941 healthy, agg_interval=7.5→5.0s
