Scenario Log: B1_mqtt_qos0
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 43200s
========================================================================

SUMMARY
  Anomalies detected    : 5158
  Anomalies resolved    : 4765
  Active at end         : 393
  Affected spots        : 495
  Quarantined at end    : 196
  Quarantine suppressed : 22
  Heartbeats suppressed : 329877
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        5236.6  ANOMALY_FLAG            spot=206 rule=R3_rapid_arrival cumulative_flags=1
        5248.1  ANOMALY_FLAG            spot=42 rule=R5_rapid_state_flip cumulative_flags=1
        5259.9  ANOMALY_FLAG            spot=201 rule=R5_rapid_state_flip cumulative_flags=1
        5280.4  ANOMALY_FLAG            spot=443 rule=R5_rapid_state_flip cumulative_flags=1
        5282.8  ANOMALY_FLAG            spot=489 rule=R3_rapid_arrival cumulative_flags=1
        5285.3  ANOMALY_RESOLVE         spot=365 rule=R3_rapid_arrival
        5296.2  ANOMALY_FLAG            spot=31 rule=R5_rapid_state_flip cumulative_flags=1
        5308.8  ANOMALY_FLAG            spot=311 rule=R3_rapid_arrival cumulative_flags=1
        5309.2  ANOMALY_FLAG            spot=222 rule=R3_rapid_arrival cumulative_flags=1
        5312.4  ANOMALY_FLAG            spot=254 rule=R5_rapid_state_flip cumulative_flags=1
        5328.7  ANOMALY_FLAG            spot=487 rule=R5_rapid_state_flip cumulative_flags=1
        5350.7  ANOMALY_FLAG            spot=444 rule=R5_rapid_state_flip cumulative_flags=1
        5370.6  ANOMALY_FLAG            spot=74 rule=R5_rapid_state_flip cumulative_flags=1
        5402.3  ANOMALY_RESOLVE         spot=462 rule=R3_rapid_arrival
        5415.1  ANOMALY_FLAG            spot=260 rule=R3_rapid_arrival cumulative_flags=1
        5433.5  ANOMALY_FLAG            spot=457 rule=R5_rapid_state_flip cumulative_flags=1
        5438.3  ANOMALY_FLAG            spot=379 rule=R3_rapid_arrival cumulative_flags=1
        5443.3  ANOMALY_FLAG            spot=196 rule=R5_rapid_state_flip cumulative_flags=1
        5470.9  ANOMALY_RESOLVE         spot=16 rule=R3_rapid_arrival
        5478.3  ANOMALY_RESOLVE         spot=201 rule=R5_rapid_state_flip
        5487.9  ANOMALY_RESOLVE         spot=316 rule=R5_rapid_state_flip
        5490.7  ANOMALY_RESOLVE         spot=253 rule=R5_rapid_state_flip
        5500.0  ANOMALY_FLAG            spot=255 rule=R5_rapid_state_flip cumulative_flags=1
        5511.8  ANOMALY_FLAG            spot=53 rule=R5_rapid_state_flip cumulative_flags=1
        5524.9  ANOMALY_FLAG            spot=441 rule=R5_rapid_state_flip cumulative_flags=1
        5529.4  ANOMALY_RESOLVE         spot=254 rule=R5_rapid_state_flip
        5531.1  ANOMALY_FLAG            spot=427 rule=R5_rapid_state_flip cumulative_flags=1
        5534.1  ANOMALY_FLAG            spot=254 rule=R5_rapid_state_flip cumulative_flags=2
        5536.4  ANOMALY_FLAG            spot=127 rule=R5_rapid_state_flip cumulative_flags=1
        5539.0  ANOMALY_FLAG            spot=0 rule=R5_rapid_state_flip cumulative_flags=1
        5540.7  ANOMALY_FLAG            spot=210 rule=R5_rapid_state_flip cumulative_flags=1
        5545.9  ANOMALY_FLAG            spot=33 rule=R5_rapid_state_flip cumulative_flags=1
        5552.1  ANOMALY_FLAG            spot=238 rule=R5_rapid_state_flip cumulative_flags=1
        5552.8  ANOMALY_FLAG            spot=271 rule=R5_rapid_state_flip cumulative_flags=1
        5553.1  ANOMALY_FLAG            spot=81 rule=R5_rapid_state_flip cumulative_flags=1
        5553.1  ANOMALY_FLAG            spot=81 rule=R3_rapid_arrival cumulative_flags=2
        5561.9  ANOMALY_FLAG            spot=244 rule=R5_rapid_state_flip cumulative_flags=1
