Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 1332
  Anomalies resolved    : 1318
  Active at end         : 14
  Affected spots        : 34
  Quarantined at end    : 30
  Quarantine suppressed : 137
  Heartbeats suppressed : 32823
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        8250.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        8370.0  QUARANTINE_ADD          spot=258 incidents=6 rules=['seq_integrity']
        8370.0  ANOMALY_FLAG            spot=224 rule=rate_outlier
        8370.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        8370.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        8400.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        8490.0  ANOMALY_FLAG            spot=120 rule=seq_integrity
        8520.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        8520.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
        8580.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        8700.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        8730.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
        8730.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        8760.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        8760.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        8940.0  ANOMALY_FLAG            spot=146 rule=seq_integrity
        8940.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        9000.0  ANOMALY_FLAG            spot=280 rule=seq_integrity
        9000.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        9030.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        9060.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        9150.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        9270.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        9360.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        9390.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        9420.0  ANOMALY_FLAG            spot=134 rule=seq_integrity
        9570.0  ANOMALY_FLAG            spot=154 rule=seq_integrity
        9630.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        9660.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        9720.0  ANOMALY_FLAG            spot=326 rule=seq_integrity
        9720.0  ANOMALY_FLAG            spot=250 rule=seq_integrity
        9720.0  ANOMALY_FLAG            spot=397 rule=seq_integrity
        9900.0  ANOMALY_FLAG            spot=179 rule=seq_integrity
        9990.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
       10170.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
       10200.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
       10230.0  ANOMALY_FLAG            spot=19 rule=seq_integrity
       10290.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       10320.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
       10320.0  ANOMALY_FLAG            spot=448 rule=seq_integrity
       10320.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       10350.0  ANOMALY_FLAG            spot=465 rule=seq_integrity
       10380.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
       10380.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       10440.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       10470.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       10530.0  ANOMALY_FLAG            spot=394 rule=seq_integrity
       10530.0  ANOMALY_FLAG            spot=492 rule=seq_integrity
       10680.0  ANOMALY_FLAG            spot=224 rule=rate_outlier
       10770.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       10890.0  QUARANTINE_ADD          spot=470 incidents=5 rules=['seq_integrity']
       10890.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
       10920.0  ANOMALY_FLAG            spot=32 rule=seq_integrity
       10950.0  ANOMALY_FLAG            spot=383 rule=seq_integrity
       10980.0  ANOMALY_FLAG            spot=174 rule=seq_integrity
       10980.0  ANOMALY_FLAG            spot=82 rule=seq_integrity
       11010.0  ANOMALY_FLAG            spot=257 rule=seq_integrity
       11100.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
       11160.0  ANOMALY_FLAG            spot=256 rule=seq_integrity
       11160.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       11160.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
       11190.0  ANOMALY_FLAG            spot=146 rule=seq_integrity
       11310.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       11430.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       11460.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
       11580.0  ANOMALY_FLAG            spot=426 rule=seq_integrity
       11580.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       11610.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       11640.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       11640.0  ANOMALY_FLAG            spot=452 rule=seq_integrity
       11730.0  ANOMALY_FLAG            spot=483 rule=seq_integrity
       11850.0  ANOMALY_FLAG            spot=209 rule=seq_integrity
       11910.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
       11940.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       12120.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       12120.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
       12210.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
       12210.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       12210.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       12240.0  ANOMALY_FLAG            spot=326 rule=seq_integrity
       12270.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
       12300.0  ANOMALY_FLAG            spot=483 rule=seq_integrity
       12540.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
       12630.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
       12660.0  ANOMALY_FLAG            spot=348 rule=seq_integrity
       12750.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       12750.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
       12810.0  ANOMALY_FLAG            spot=371 rule=seq_integrity
       12840.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       12870.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       12960.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
       12960.0  ANOMALY_FLAG            spot=252 rule=seq_integrity
       13170.0  ANOMALY_FLAG            spot=167 rule=seq_integrity
       13200.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       13230.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
       13260.0  ANOMALY_FLAG            spot=47 rule=seq_integrity
       13410.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
       13500.0  ANOMALY_FLAG            spot=394 rule=seq_integrity
       13590.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       13620.0  ANOMALY_FLAG            spot=411 rule=seq_integrity
       13710.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       13770.0  ANOMALY_FLAG            spot=49 rule=seq_integrity
       13920.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
       14010.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       14040.0  ANOMALY_FLAG            spot=421 rule=seq_integrity
       14220.0  ANOMALY_FLAG            spot=289 rule=rate_outlier
       14310.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
       14370.0  ANOMALY_FLAG            spot=357 rule=seq_integrity
       14490.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
       14610.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
       14670.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       14700.0  ANOMALY_FLAG            spot=93 rule=seq_integrity
       14700.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
       14730.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
       14820.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
       14850.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       14880.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
       14880.0  ANOMALY_FLAG            spot=262 rule=seq_integrity
       15030.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       15060.0  ANOMALY_FLAG            spot=497 rule=seq_integrity
       15120.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       15150.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       15180.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       15270.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
       15420.0  ANOMALY_FLAG            spot=277 rule=seq_integrity
       15450.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       15480.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       15570.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       15660.0  ANOMALY_FLAG            spot=61 rule=seq_integrity
       15660.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
       15690.0  ANOMALY_FLAG            spot=233 rule=seq_integrity
       15720.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       15750.0  ANOMALY_FLAG            spot=3 rule=seq_integrity
       15900.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
       15930.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
       15930.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
       15960.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
       16140.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
       16290.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       16290.0  ANOMALY_FLAG            spot=37 rule=seq_integrity
       16350.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
       16620.0  ANOMALY_FLAG            spot=163 rule=seq_integrity
       16710.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       16770.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
